Number,Percent,Qty
1,1.65E-02,85
10,1.93E-02,99
11,1.87E-02,96
12,1.65E-02,85
13,1.44E-02,74
14,1.63E-02,84
15,1.42E-02,73
16,1.56E-02,80
17,1.79E-02,92
18,1.52E-02,78
19,1.40E-02,72
2,1.93E-02,99
20,1.96E-02,101
21,1.48E-02,76
22,1.50E-02,77
23,1.50E-02,77
24,1.54E-02,79
25,1.50E-02,77
26,1.46E-02,75
27,1.46E-02,75
28,1.89E-02,97
29,1.65E-02,85
3,1.67E-02,86
30,1.52E-02,78
31,1.95E-02,100
32,1.44E-02,74
33,1.58E-02,81
34,1.52E-02,78
35,1.56E-02,80
36,1.44E-02,74
37,1.38E-02,71
38,1.65E-02,85
39,1.58E-02,81
4,1.71E-02,88
40,1.34E-02,69
41,1.71E-02,88
42,1.46E-02,75
43,1.28E-02,66
44,1.42E-02,73
45,1.60E-02,82
46,1.73E-02,89
47,1.42E-02,73
48,1.63E-02,84
49,1.63E-02,84
5,1.36E-02,70
50,1.44E-02,74
51,1.69E-02,87
52,1.25E-02,64
53,1.63E-02,84
54,1.38E-02,71
55,9.92E-03,51
56,1.52E-02,78
57,7.00E-03,36
58,8.56E-03,44
59,7.20E-03,37
6,1.69E-02,87
60,6.81E-03,35
61,7.00E-03,36
62,9.14E-03,47
63,6.81E-03,35
64,6.81E-03,35
65,6.03E-03,31
66,8.37E-03,43
67,4.86E-03,25
68,7.78E-03,40
69,7.78E-03,40
7,1.36E-02,70
70,8.17E-03,42
71,4.67E-03,24
72,4.67E-03,24
73,6.42E-03,33
74,6.42E-03,33
75,5.25E-03,27
8,1.36E-02,70
9,1.40E-02,72
